,seqproduto,desccompleta,descreduzida,codrua,nropredio,nroapartamento,nrosala,especieendereco,indterreoaereo,qtdatual,statusendereco,tipespecie,nroempresa,nrocarga,coddepossepar,destino,tipentrega,pesototal,mcubtotal,nrobox,statuscarga,valorcarga,seqlote,qtdcontada,seqatividade,codtipatividade,nroquebra,mesano,peso,metragemcubica,qtdvolume,qtditem,indexclusao,grauprioridade,statusrf,statusatividade,tipseparacao,tiplote,pesototallote,mcubtotallote,qtdvolumelote,qtditemlote,seqordenacaoseparacao,seqpessoa,qtdembcarga,qtdembsolcarga,qtdembsepcarga,nropedvenda,embalagem,pesobruto,pesoliquido,altura,largura,profundidade,status
0,8975,P TOALHA STYLUS 22X20 C/2,P TOALHA STYLUS C/2,B15,40,1,101,A,T,861.0,O,P,1,193228,1,CDA NORTE - MAFRA,E,707,1.43170578,55,S,3951.13,9,0,6572422,SE,0,,15.221,0.22554,4,3,N,4,,A,LV,FF,15.221,0.22554,4,3,38,54687,12,1,1,0,FD,2.81,2.81,20.0,66.0,45.0,L
1,760,P HIG PALOMA FL SIMP C/4 30MT PERF,P HIG PALOM C/4 PERF,B15,3,1,101,A,T,282.0,O,P,1,193228,1,CDA NORTE - MAFRA,E,707,1.43170578,55,S,3951.13,9,0,6572422,SE,0,,15.221,0.22554,4,3,N,4,,A,LV,FF,15.221,0.22554,4,3,38,54687,16,1,1,0,FD,4.137,4.137,20.0,71.0,39.0,L
2,759,P HIG PALOMA FL SIMP C/4 30MT NEUTRO,P HIG PALOM C/4 NEUT,B15,27,1,101,A,T,241.0,O,P,1,193228,1,CDA NORTE - MAFRA,E,707,1.43170578,55,S,3951.13,9,0,6572422,SE,0,,15.221,0.22554,4,3,N,4,,A,LV,FF,15.221,0.22554,4,3,38,54687,16,2,2,0,FD,4.137,4.137,20.0,71.0,39.0,L
3,28524,GIN TANQUERAY 750ML,GIN TANQUERAY 750ML,BCO,68,1,101,A,T,37.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,57202,1,6,6,0,UN,1.3,0.75,23.0,9.0,6.0,L
4,27302,CHOCOLATE CHOCOCANDY (CONFETE) 500G SABOR CHOC,PASTILHA CONF CHOCOL,BCO,58,1,101,A,T,731.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,46282,12,1,1,0,CX,7.2,6.0,10.0,155.0,23.0,L
5,27209,AMENDOIM CHOCOLATE DORI 500G,AMENDOIM CHOCOLATE D,BCO,24,1,102,A,T,84.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,36694,1,6,6,0,UN,0.6,0.5,18.2,18.0,3.2,L
6,26922,CHOCOLATE KINDER JOY 20G C/12UN,KINDER OVO JOY 20G D,BCO,34,1,301,A,T,120.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,78978,12,2,2,0,DP,0.37200000000000005,0.24,17.5,11.7,13.4,L
7,26884,CREME DE AVELA NUTELLA 650G,CREME DE AVELA NUTEL,BCO,24,1,103,A,T,44.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,36183,1,2,2,0,UN,0.718,0.65,12.0,8.0,5.0,L
8,1611,TEQUILA CUERVO 750ML AMARELA,BEB TEQ CUERVO AMARE,BCO,54,1,201,A,T,39.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,57202,1,2,2,0,UN,1.213,0.75,28.0,8.0,8.0,L
9,1357,GIN SEAGERS 980ML,GIN SEAGRES 980ML,BCO,54,1,101,A,T,34.0,O,P,1,193211,1,BLUMENAU/GASPAR,E,1485,3.26363737,56,S,10400.16,1,0,6572426,SE,0,,31.698,0.07369879,28,12,N,4,,A,CO,CO,31.698,0.07369879,28,12,1,57202,1,2,2,0,UN,0.9279999999999999,0.98,29.2,8.1,8.1,L
