,seqproduto,desccompleta,descreduzida,codrua,nropredio,nroapartamento,nrosala,especieendereco,indterreoaereo,qtdatual,statusendereco,tipespecie,nroempresa,nrocarga,coddepossepar,destino,tipentrega,pesototal,mcubtotal,especieendereco,nrobox,statuscarga,valorcarga,seqlote,qtdcontada,seqtarefa,seqatividade,codtipatividade,nroquebra,mesano,peso,metragemcubica,qtdvolume,qtditem,indexclusao,grauprioridade,statusrf,statusatividade,tipseparacao,tiplote,pesototallote,mcubtotallote,qtdvolumelote,qtditemlote,seqordenacaoseparacao,seqpessoa,qtdembcarga,qtdembsolcarga,qtdembsepcarga,nropedvenda,embalagem,pesobruto,pesoliquido,altura,largura,profundidade
0,1459,ARROZ PARBO 5KG MINUTINHO,ARROZ MINUT PARBO 5K,R10,24,1,101,A,T,120.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,65060,6.0,2.0,2.0,0,FD,30.21,30.0,18.0,35.0,55.0
1,18275,ARROZ BRANCO GOURMET 5KG TIO JOAO,ARROZ TIO JO GOU BCO,R10,8,1,101,A,T,239.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,66708,6.0,1.0,1.0,0,FD,30.162,30.0,18.0,33.0,62.4
2,31025,FARINHA DE MILHO AMARELA SINHA 500G BIJU,FARINHA DE MILHO SIN,R10,60,1,101,A,T,917.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,65060,20.0,1.0,1.0,0,CX,10.1,10.0,18.0,35.0,45.0
3,31436,MACARRAO REN G.DURO 500G ESPAGUETE SUPERIORE,MACARRAO RENATA 500G,R10,34,1,101,A,T,1135.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,65060,30.0,1.0,1.0,0,CX,15.51,15.0,15.0,28.0,48.0
4,32404,FEIJAO RIO BELO CARIOCA 1KG,FEIJAO RIO BELO CARI,R10,37,1,101,A,T,620.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,65060,10.0,1.0,1.0,0,FD,10.0,10.0,17.0,20.0,30.0
5,33264,FEIJAO RIO BELO PRETO 1KG,FEIJAO RIO BELO PRET,R10,30,1,101,A,T,197.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,65060,10.0,2.0,2.0,0,FD,10.0,10.0,17.0,58.0,38.0
6,33264,FEIJAO RIO BELO PRETO 1KG,FEIJAO RIO BELO PRET,R10,30,1,101,A,T,197.0,O,P,1,193315,01,CDA OESTE - REGIAO 10,E,844.0,1.59097216,A,2,S,5872.7,6,0.0,,6576469,SE,0,,156.192,0.2774796,9.0,6.0,N,4,,A,FA,BF,156.192,0.2774796,9,6,6,66708,10.0,1.0,1.0,0,FD,10.0,10.0,17.0,58.0,38.0
7,842,COLORIFICO SINHA 500GR,COLORIFICO SINHA 500,R10,80,1,102,A,T,135.0,O,P,1,193316,01,CDA OESTE - REGIAO 06,E,703.0,1.42219596,A,3,S,6975.63,6,0.0,,6576485,SE,0,,90.787,0.1130099,5.0,5.0,N,4,,A,FA,BF,90.787,0.1130099,5,5,6,78816,20.0,1.0,1.0,0,FD,10.244,10.244,14.0,30.0,39.0
8,1345,FEIJAO CALDAO CARIOCA 1KG,FEIJ CALDAO CARIOCA,R10,45,1,101,A,T,1087.0,O,P,1,193316,01,CDA OESTE - REGIAO 06,E,703.0,1.42219596,A,3,S,6975.63,6,0.0,,6576485,SE,0,,90.787,0.1130099,5.0,5.0,N,4,,A,FA,BF,90.787,0.1130099,5,5,6,73647,10.0,1.0,1.0,0,FD,10.218,10.218,12.1,17.0,32.0
9,1571,ACUCAR ALTO ALEGRE REF 5KG,ACUC ALTO ALEGRE 5KG,R10,2,1,101,A,T,39.0,O,P,1,193316,01,CDA OESTE - REGIAO 06,E,703.0,1.42219596,A,3,S,6975.63,6,0.0,,6576485,SE,0,,90.787,0.1130099,5.0,5.0,N,4,,A,FA,BF,90.787,0.1130099,5,5,6,73647,6.0,1.0,1.0,0,FD,29.988,29.988,19.0,33.0,55.0
